"Time [ms]","InducedVoltage(PhaseA) [kV] - If='279A'","InducedVoltage(PhaseC) [kV] - If='279A'"
0,-3.08003532213183,6.18676843492056
0.5,-2.20625808751502,5.91218965938653
1,-1.3324808528982,5.63761088385249
1.5,-0.400209433441411,5.26323910725824
2,0.569161607301062,4.78784878570642
2.5,1.53128357417529,4.20514873770139
3,2.51136570252131,3.53685362582928
3.5,3.40941852044816,2.79229639391534
4,4.19033053019158,1.97734690467939
4.5,4.83378087086479,1.06740294207383
5,5.33751778364871,0.114438200997512
5.5,5.71273531185402,-0.853858234258176
6,5.94702897614969,-1.82874527929344
6.5,6.01011601937914,-2.80063767947433
7,5.92184706386418,-3.66430832832978
7.5,5.6978461431475,-4.39875536926564
8,5.35920990778219,-4.99049208209407
8.5,4.91942704466659,-5.4500282904658
9,4.38061453777741,-5.78331182367913
9.5,3.73346473056477,-5.96707114509546
10,3.02232992747237,-5.97325105146554
10.5,2.23514635732952,-5.84528874072246
11,1.36144384237618,-5.57674372615796
11.5,0.41465345478268,-5.20468088649094
12,-0.553094989495754,-4.7357056244554
12.5,-1.51898427737154,-4.16113208472535
13,-2.49753135762329,-3.49647337436855
13.5,-3.39158504622283,-2.75560992859069
14,-4.16818231060643,-1.94234722212942
14.5,-4.8055190048684,-1.03492348392838
15,-5.3056285779759,-0.0856582770563961
15.5,-5.6796135409309,0.879743491812405
16,-5.91232338645935,1.84942972275333
16.5,-5.97521350719709,2.81440393681082
17,-5.88833994228676,3.67113458922312
17.5,-5.66532979316062,4.39823264654694
18,-5.32765588601059,4.9847368846535
18.5,-4.88841133242863,5.44020069107347
19,-4.35049979595031,5.77022075546298
19.5,-3.70402306131068,5.95068251743959
20,-2.99370726519554,5.954559250793
20.5,-2.20728484095368,5.82491432183173
21,-1.33589607673716,5.55507679556794
21.5,-0.391930968333135,5.18180476791815
22,0.573327840796246,4.71205767557288
22.5,1.53551974949347,4.13743757554225
23,2.5092058708569,3.4727956094798
23.5,3.39807052279199,2.73205359464951
24,4.16943015620592,1.919277353608
24.5,4.80213080727986,1.01371156449287
25,5.29886266924016,0.0665669864552285
25.5,5.66900171095732,-0.896018516956921
26,5.89831486183919,-1.86231866230048
26.5,5.95857555886967,-2.82263971585279
27,5.8697771170197,-3.67487885261401
27.5,5.64534879474327,-4.39748425779784
28,5.30649596286712,-4.97935393569705
28.5,4.86619214481813,-5.43155086490685
29,4.32812172766919,-5.7583433127003
29.5,3.68157937167934,-5.93581619514382
30,2.97133998563492,-5.93750057936625
30.5,2.18499888819777,-5.80645156230531
31,1.31490019247514,-5.53518512292155
31.5,0.372906106044894,-5.16096845165095
32,-0.590544217995031,-4.69039606134644
32.5,-1.54937231660384,-4.11568806891666
33,-2.51898630661531,-3.45089650350551
33.5,-3.40362419901885,-2.71028782673006
34,-4.17116957114747,-1.89747629765071
34.5,-4.79911151840089,-0.993830312308162
35,-5.29277805835129,-0.048386299965145
35.5,-5.65990418034137,0.911960881789689
36,-5.88614633924845,1.8746365931673
36.5,-5.94423686089329,2.8311538323187
37,-5.85383835413597,3.67953532778554
37.5,-5.62806595812548,4.39811142087237
38,-5.28811740057824,4.97598838889313
38.5,-4.84668544036607,5.42495342792724
39,-4.30822788782879,5.74899499263043
39.5,-3.66130715636417,5.92382615756463
40,-2.95093489261479,5.92348124725742
40.5,-2.16459034794687,5.79111873796912
41,-1.29527954519018,5.51837869859668
41.5,-0.355090018641924,5.14313444026937
42,0.606703009133454,4.67160621230913
42.5,1.56242390642167,4.09655596456335
43,2.52860295481829,3.43130282264347
43.5,3.4095900398312,2.69053711742209
44,4.17384178466949,1.8776411040015
44.5,4.79824519438734,0.975282210253724
45,5.28804446715944,0.0316189806288634
45.5,5.65281757394891,-0.926906388549924
46,5.87641525125522,-1.88616017002399
46.5,5.9325113611998,-2.83971705378362
47,5.84054352367051,-3.68463757452087
47.5,5.61349548614248,-4.39987902495082
48,5.27235158654436,-4.97377056708896
48.5,4.8298125383187,-5.42024822625758
49,4.29075593117077,-5.74162610120186
49.5,3.64326585154859,-5.91408583790211
50,2.93253107080481,-5.91191623746448
50.5,2.14608980554365,-5.77816374860384
51,1.27673440258784,-5.50419683383139
51.5,0.338905847465107,-5.12769517371943
52,-0.6216765894305,-4.65525169880377
52.5,-1.57463024931766,-4.0796875996152
53,-2.53808715166976,-3.4137580747509
53.5,-3.41581797171148,-2.67263029221009
54,-4.17714153711554,-1.85957239750186
54.5,-4.79819406478881,-0.957973652282966
55,-5.28489885592103,-0.0162431367457287
55.5,-5.64739976016962,0.940778565210742
56,-5.86862362659882,1.89710162626129
56.5,-5.92292796314121,2.8483165462641
57,-5.82938888133335,3.68996490003093
57.5,-5.60109692883677,4.40245038805767
58,-5.25884282887514,4.97270240202486
58.5,-4.81518261806521,5.41694164609725
59,-4.27542385514211,5.73587566209024
59.5,-3.62722160643829,5.90619965734198
60,-2.9157872826705,5.90235373532765
60.5,-2.1293419779175,5.76722296886511
61,-1.25969141402579,5.49212543073967
61.5,-0.323902125007905,5.11440302315954
62,0.635432888595538,4.64103336505499
62.5,1.58607595786244,4.06479723766705
63,2.54733513186773,3.39807439190493
63.5,3.42220422355694,2.65633599462589
64,4.18084537847157,1.84321442675058
64.5,4.79895980051151,0.941884486312198
65,5.2829377905829,0.0020800483758876
65.5,5.64338700251873,-0.953497397435214
66,5.86238520837752,-1.90752555656616
66.5,5.91507637762965,-2.85674237228374
67,5.82009151554923,-3.69559005435763
67.5,5.59062896087295,-4.40544140105129
68,5.24721165198282,-4.97248511112183
68.5,4.80245460687798,-5.41485592571451
69,4.26197971419322,-5.73149912311546
69.5,3.61296105298259,-5.89986018814232
70,2.90047573653924,-5.89443105183612
70.5,2.11422727908403,-5.75801896992262
71,1.24404531490183,-5.48180355428279
71.5,0.310034025297796,-5.1029741611394
72.0000000000001,-0.648066669710403,-4.62863296202659
72.5000000000001,-1.59663276674341,-4.05174764799444
73.0000000000001,-2.55627955624601,-3.38407736377846
73.5000000000001,-3.42879425298475,-2.64145756381141
74.0000000000001,-4.18504473134092,-1.82823737182508
74.5000000000001,-4.80019907195441,-0.92697795594615
75.0000000000001,-5.28180243811379,0.01086638868248
75.5000000000001,-5.64051267671958,0.965175398679811
76.0000000000001,-5.85742247588023,1.91728236725983
76.5000000000001,-5.90871205129461,2.86507392150043
77.0000000000001,-5.81230115612992,3.70131004147
77.5000000000001,-5.58175038985331,4.40858935375584
78.0000000000001,-5.23717536748966,4.97306159627857
78.5000000000001,-4.7914316822073,5.41377146971136
79.0000000000001,-4.25018610843254,5.72818436378621
79.5000000000001,-3.60032296164998,5.89474148662812
80.0000000000001,-2.88657185724847,5.88796383279119
80.5000000000001,-2.10040348436092,5.7502462596338
81.0000000000001,-1.22982394123837,5.47297917603507
81.5000000000001,-0.297195109721741,5.09311497960135
82.0000000000001,0.65959176276727,4.6177975183536
82.5000000000001,1.60638682171651,4.04037103463505
83.0000000000001,2.56489260999464,3.37164983498655
83.5000000000001,3.43562676215484,2.62759430701538
84.0000000000001,4.18919351055195,1.81479618557452
84.5000000000001,4.80187747265153,0.913323698234024
85.0000000000001,5.28141512541674,-0.0227961666663958
85.5000000000001,5.6385761805576,-0.97588035985838
86.0000000000001,5.85353871506339,-1.92643254587809
86.5000000000001,5.90355480643533,-2.8732065319613
87.0000000000001,5.80581600765838,-3.70702739928429
87.5000000000001,5.57414300822195,-4.41195608409841
88.0000000000001,5.22858843629934,-4.97413486457363
88.5000000000001,4.78186346954231,-5.41343868044729
89.0000000000001,4.23987443568987,-5.72575743603695
89.5000000000001,3.58909934387294,-5.89067998936187
90.0000000000001,2.8738057899273,-5.88265116072936
