"If [A]","Freq [kHz]","mag(InducedVoltage(PhaseA)) [kV]"
270,0,0.00131640767599144
270,0.0500000000000002,5.8055625863076
270,0.1,0.00579988428450636
270,0.150000000000001,0.126789209920215
270,0.200000000000001,0.00219735312309576
270,0.250000000000001,0.0163535149496338
270,0.300000000000001,0.00145448072512015
270,0.350000000000002,0.00778253678415398
270,0.400000000000002,0.00105787017812725
270,0.450000000000002,0.00842711208642982
270,0.500000000000002,0.000651252763662069
270,0.550000000000003,0.00494128611109821
270,0.600000000000003,0.000488483356600249
270,0.650000000000003,0.00318199372197032
270,0.700000000000003,0.000362908309842396
270,0.750000000000004,0.00138400391407095
270,0.800000000000004,0.000214855256446893
270,0.850000000000004,0.00227259614416791
270,0.900000000000004,9.93107123118838e-05
270,0.950000000000004,0.0017390361569246
270,1,5.53333649270911e-05
275,0,0.000907967690199851
275,0.0500000000000002,5.87002741020156
275,0.1,0.0052294751551086
275,0.150000000000001,0.125335746027496
275,0.200000000000001,0.0019999881053155
275,0.250000000000001,0.0164271567888786
275,0.300000000000001,0.00131281349848927
275,0.350000000000002,0.00772701960480261
275,0.400000000000002,0.000961743566982476
275,0.450000000000002,0.00834990440112488
275,0.500000000000002,0.000564584517874812
275,0.550000000000003,0.0045567512575427
275,0.600000000000003,0.000459665921358359
275,0.650000000000003,0.00282931991565197
275,0.700000000000003,0.000312715593510077
275,0.750000000000004,0.00133213085762433
275,0.800000000000004,0.000189243277040557
275,0.850000000000004,0.00227571115275012
275,0.900000000000004,7.52907127753563e-05
275,0.950000000000004,0.00173365888189259
275,1,2.06083148641198e-05
279,0,0.000597199756592735
279,0.0500000000000002,5.92067449719417
279,0.1,0.00479255218760337
279,0.150000000000001,0.124064775655363
279,0.200000000000001,0.00183886673783973
279,0.250000000000001,0.0165272458929428
279,0.300000000000001,0.00119423450567276
279,0.350000000000002,0.00770673470107171
279,0.400000000000002,0.000885548702693016
279,0.450000000000002,0.00829271529953211
279,0.500000000000002,0.000505117462596206
279,0.550000000000003,0.00431246583929739
279,0.600000000000003,0.0004201880243766
279,0.650000000000003,0.00264057915744184
279,0.700000000000003,0.000274785581967233
279,0.750000000000004,0.00129779967781025
279,0.800000000000004,0.0001773515114029
279,0.850000000000004,0.00226629171106521
279,0.900000000000004,8.33272630297957e-05
279,0.950000000000004,0.00168272223701934
279,1,1.94726995280178e-05
